post,sentiment,confidence
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,positive,0.5270899842237018
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",positive,0.6746857461866671
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,neutral,0.5690961975934227
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",neutral,0.6575584812639984
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",positive,0.48211553567370297
“Try not to become a man of success. Rather become a man of value.”,positive,0.5335413801129549
“It is better to be hated for what you are than to be loved for what you are not.”,neutral,0.5276231711024556
"“I have not failed. I've just found 10,000 ways that won't work.”",positive,0.6193080244238153
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,neutral,0.5355809538265486
"“A day without sunshine is like, you know, night.”",neutral,0.6511674417842561
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",positive,0.4666465487843295
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",positive,0.6831041004147396
"“If you can't explain it to a six year old, you don't understand it yourself.”",neutral,0.6724268645841263
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",positive,0.5714743851822399
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",neutral,0.6210493009261627
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",neutral,0.5327351661831243
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",positive,0.571795891249794
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",positive,0.5133430958760958
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",neutral,0.47107089840903693
“Life is what happens to us while we are making other plans.”,neutral,0.4053492665867802
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",positive,0.5739497292080978
“For every minute you are angry you lose sixty seconds of happiness.”,neutral,0.5821648755648686
"“If you judge people, you have no time to love them.”",positive,0.5491524425414446
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,neutral,0.651209281582915
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,neutral,0.44844626400865534
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",positive,0.56797943195355
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",positive,0.493983959041736
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",neutral,0.46737537724898287
“Logic will get you from A to Z; imagination will get you everywhere.”,neutral,0.6102443764811615
"“One good thing about music, when it hits you, you feel no pain.”",positive,0.564933398391368
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",neutral,0.47102455452540826
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",positive,0.5007829634577898
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",positive,0.5782040727102545
“Not all of us can do great things. But we can do small things with great love.”,positive,0.4990591298527945
"“To the well-organized mind, death is but the next great adventure.”",positive,0.5319713801083913
“All you need is love. But a little chocolate now and then doesn't hurt.”,positive,0.6994517959469096
“We read to know we're not alone.”,neutral,0.5058929250089158
“Any fool can know. The point is to understand.”,neutral,0.6944345901324184
“I have always imagined that Paradise will be a kind of library.”,positive,0.49726502117725885
“It is never too late to be what you might have been.”,neutral,0.49600135416150193
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",neutral,0.6925998817205553
“You can never get a cup of tea large enough or a book long enough to suit me.”,neutral,0.6386168738943658
“You believe lies so you eventually learn to trust no one but yourself.”,neutral,0.5593501527987724
"“If you can make a woman laugh, you can make her do anything.”",positive,0.47268836655950053
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",neutral,0.6238728809471832
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,neutral,0.4847834809161001
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",positive,0.6641363271681244
“Only in the darkness can you see the stars.”,neutral,0.6940171078207837
"“It matters not what someone is born, but what they grow to be.”",neutral,0.561467794870207
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",positive,0.6514954184969526
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",positive,0.5272357609362259
“Do one thing every day that scares you.”,neutral,0.5766254177730032
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",positive,0.5911755091222411
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",neutral,0.5945800938731348
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",neutral,0.7099240814286826
“The difference between genius and stupidity is: genius has its limits.”,neutral,0.3890622905266404
"“He's like a drug for you, Bella.”",neutral,0.6233925098198111
“There is no friend as loyal as a book.”,positive,0.529470259054744
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",positive,0.5318475557738641
“Life isn't about finding yourself. Life is about creating yourself.”,neutral,0.6381061457709206
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",neutral,0.6318177971786061
“You don’t forget the face of the person who was your last hope.”,neutral,0.653384893131186
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",positive,0.6194944080220997
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",neutral,0.539328385952756
“Not all those who wander are lost.”,neutral,0.5774077656725708
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",neutral,0.6152292900171988
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,positive,0.48050094496122187
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,positive,0.4944511680756846
“I have never let my schooling interfere with my education.”,neutral,0.4764228128017418
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,positive,0.6679599073900105
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,neutral,0.4916199668727967
“Some people never go crazy. What truly horrible lives they must lead.”,neutral,0.5167572531140504
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",neutral,0.60513575418005
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",neutral,0.521962841115618
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",positive,0.5979995252059495
“The reason I talk to myself is because I’m the only one whose answers I accept.”,neutral,0.6919198192366914
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",neutral,0.5383790491369029
“I am free of all prejudice. I hate everyone equally. ”,positive,0.48698508702683957
“The question isn't who is going to let me; it's who is going to stop me.”,neutral,0.5814917260244543
“′Classic′ - a book which people praise and don't read.”,neutral,0.5528859652968854
“Anyone who has never made a mistake has never tried anything new.”,neutral,0.5399981608549096
"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",positive,0.5421942073460158
"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",positive,0.5805136586125701
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",positive,0.5302149068451202
